X,Y,objectid,osm_id,fclass,name,subdistrict,district,state,country
76.1198876,11.1091448,153,7515405364,Fire Station,"Fire and Rescue Station, Manjeri",Ernad,Malappuram,Kerala,India
79.5645526,18.0010741,154,7243989343,Fire Station, ,Hanamkonda,Warangal Urban,Telangana,India
76.5836972,8.8884757,155,8068250599,Fire Station,Fire&Rescue Station Chamakkada,Kollam,Kollam,Kerala,India
76.6269579,9.0467637,156,8067982146,Fire Station,Fire Station Sasthamcotta,Kunnathur,Kollam,Kerala,India
76.217015,10.5171301,157,8077369885,Fire Station,FIRESTATION THRISSUR,Thrissur,Thrissur,Kerala,India
76.067632,10.6588303,158,8078222391,Fire Station,"Fire and Rescue Station, Kunnamkulam",Kunnamkulam,Thrissur,Kerala,India
78.2171432,12.5246575,159,7903002235,Fire Station, ,Krishnagiri,Krishnagiri,Tamil Nadu,India
78.4088851,17.4127048,160,8111098052,Fire Station,panjagutta firestation,Shaikpet,Hyderabad,Telangana,India
81.6886905,16.7641741,161,8116992449,Fire Station,Tanuku fire station,Undrajavaram,West Godavari,Andhra Pradesh,India
83.6389712,18.4522864,162,8115058870,Fire Station,FIRE STATION,Rajam,Srikakulam,Andhra Pradesh,India
75.6934268,11.4439284,163,8422730392,Fire Station,Fire Station,Koyilandi,Kozhikode,Kerala,India
76.5360041,9.0058425,164,8559616288,Fire Station, ,Karunagappally,Kollam,Kerala,India
77.1602842,8.34713,165,8835878279,Fire Station,"Fire and Rescue Station, Parassala",Neyyattinkara,Thiruvananthapuram,Kerala,India
76.6292391,9.0484595,166,8567498773,Fire Station, ,Kunnathur,Kollam,Kerala,India
76.2420256,10.1517378,167,8843840992,Fire Station,"Fire Station, North Paravur",Paravur,Ernakulam,Kerala,India
78.5395993,10.2682088,168,8541103819,Fire Station, ,Ponnamaravathi,Pudukkottai,Tamil Nadu,India
78.8246711,18.1077662,169,8386142246,Fire Station, ,Siddipet Urban,Siddipet,Telangana,India
74.9862534,12.5093591,170,9056899016,Fire Station,District Fire Office,Kasaragod,Kasaragod,Kerala,India
